# Describes mapping from Unicode Code pointer to Character code in mac_greek (['Greek'])
# [SourceInterval.begin] [SourceInterval.Size]  [TargetInterval.begin] (all in hexidecimal)
0 80 0
A0 1 CA
A3 1 92
A5 1 B4
A6 1 9B
A7 1 AC
A8 1 8C
A9 1 A9
AB 1 C7
AC 1 C2
AD 1 FF
AE 1 A8
B0 1 AE
B1 1 B1
B2 1 82
B3 1 84
B7 1 AF
B9 1 81
BB 1 C8
BD 1 97
C4 1 80
C9 1 83
D6 1 85
DC 1 86
DF 1 A7
E0 1 88
E2 1 89
E4 1 8A
E7 1 8D
E8 1 8F
E9 1 8E
EA 2 90
EE 2 94
F4 1 99
F6 1 9A
F7 1 D6
F9 1 9D
FB 2 9E
153 1 CF
384 1 8B
385 1 87
386 1 CD
388 1 CE
389 2 D7
38C 1 D9
38E 1 DA
38F 1 DF
390 1 FD
391 1 B0
392 1 B5
393 2 A1
395 3 B6
398 1 A3
399 2 B9
39B 1 A4
39C 1 BB
39D 1 C1
39E 1 A5
39F 1 C3
3A0 1 A6
3A1 1 C4
3A3 1 AA
3A4 1 C6
3A5 1 CB
3A6 1 BC
3A7 1 CC
3A8 2 BE
3AA 1 AB
3AB 1 BD
3AC 1 C0
3AD 3 DB
3B0 1 FE
3B1 2 E1
3B3 1 E7
3B4 2 E4
3B6 1 FA
3B7 1 E8
3B8 1 F5
3B9 1 E9
3BA 4 EB
3BE 1 EA
3BF 2 EF
3C1 1 F2
3C2 1 F7
3C3 2 F3
3C5 1 F9
3C6 1 E6
3C7 1 F8
3C8 1 E3
3C9 1 F6
3CA 2 FB
3CC 1 DE
3CD 1 E0
3CE 1 F1
2013 1 D0
2015 1 D1
2018 2 D4
201C 2 D2
2020 1 A0
2022 1 96
2026 1 C9
2030 1 98
20AC 1 9C
2122 1 93
2248 1 C5
2260 1 AD
2264 2 B2
