# Describes mapping from Unicode Code pointer to Character code in mac_latin2 (['Central and Eastern Europe'])
# [SourceInterval.begin] [SourceInterval.Size]  [TargetInterval.begin] (all in hexidecimal)
0 80 0
A0 1 CA
A3 1 A3
A7 1 A4
A8 1 AC
A9 1 A9
AB 1 C7
AC 1 C2
AE 1 A8
B0 1 A1
B6 1 A6
BB 1 C8
C1 1 E7
C4 1 80
C9 1 83
CD 1 EA
D3 2 EE
D5 1 CD
D6 1 85
DA 1 F2
DC 1 86
DD 1 F8
DF 1 A7
E1 1 87
E4 1 8A
E9 1 8E
ED 1 92
F3 1 97
F4 1 99
F5 1 9B
F6 1 9A
F7 1 D6
FA 1 9C
FC 1 9F
FD 1 F9
100 2 81
104 1 84
105 1 88
106 2 8C
10C 1 89
10D 1 8B
10E 1 91
10F 1 93
112 2 94
116 1 96
117 1 98
118 1 A2
119 1 AB
11A 2 9D
122 1 FE
123 1 AE
12A 1 B1
12B 1 B4
12E 2 AF
136 1 B5
137 1 FA
139 2 BD
13B 4 B9
141 1 FC
142 1 B8
143 1 C1
144 1 C4
145 2 BF
147 1 C5
148 1 CB
14C 1 CF
14D 1 D8
150 1 CC
151 1 CE
154 2 D9
156 2 DF
158 1 DB
159 1 DE
15A 2 E5
160 1 E1
161 1 E4
164 2 E8
16A 1 ED
16B 1 F0
16E 1 F1
16F 5 F3
179 2 8F
17B 1 FB
17C 1 FD
17D 2 EB
2C7 1 FF
2013 2 D0
2018 2 D4
201A 1 E2
201C 2 D2
201E 1 E3
2020 1 A0
2022 1 A5
2026 1 C9
2039 2 DC
2122 1 AA
2202 1 B6
2206 1 C6
2211 1 B7
221A 1 C3
2260 1 AD
2264 2 B2
25CA 1 D7
